ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
443,"Request A Sample","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row"" make_fullwidth=""on"" use_custom_width=""off"" width_unit=""on"" use_custom_gutter=""off"" padding_mobile=""off"" allow_player_pause=""off"" parallax=""off"" parallax_method=""off"" make_equal=""off"" parallax_1=""off"" parallax_method_1=""off"" column_padding_mobile=""on""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]

Ever been curious about Essential oils, but not sure where to start? Fill out our sample request form to get a free sample and consulation from our team.<!--more-->

[/et_pb_text][et_pb_text admin_label=""Form"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""] [gravityform id=""2"" title=""true"" description=""true""] [/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]","Interested in experiencing the benefits of essential oils, but want to ""try before you buy""? Fill out the ""request a sample"" form and I will send you some oil samples so that you can experience them for yourself. ",20160716,page,http://theoilydoc.com/request-a-sample/,http://theoilydoc.com/wp-content/uploads/2016/08/essential-oils-1433694_1280.jpg,essential-oils-1433694_1280,,,,,publish,2,request-a-sample,,page-full.php,0,0,0,closed,closed,20170510
466,"Calendars And Events","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_blog admin_label=""Newsletter Top post"" fullwidth=""on"" posts_number=""1"" include_categories=""38"" show_thumbnail=""on"" show_content=""off"" show_more=""on"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" /][et_pb_blog admin_label=""Blog"" fullwidth=""on"" include_categories=""26"" show_thumbnail=""on"" show_content=""off"" show_more=""on"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""on"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" posts_number=""2""] [/et_pb_blog][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row""][et_pb_column type=""4_4""][et_pb_post_nav admin_label=""Post Navigation"" in_same_term=""on"" hide_prev=""off"" hide_next=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""] [/et_pb_post_nav][/et_pb_column][/et_pb_row][/et_pb_section]","View the calendars for the upcoming events for Doterra and our team.",20160721,page,http://theoilydoc.com/calendars/,http://theoilydoc.com/wp-content/uploads/2016/07/flower-729512_1280-ConvertImage-e1471040816199.jpg|http://theoilydoc.com/wp-content/uploads/2016/07/office-620817_640.jpg,flower-729512_1280-ConvertImage|office-620817_640,|,|,|,,publish,2,calendars,,default,0,0,0,closed,closed,20161003
467,Blog,"[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_blog admin_label=""Blog"" fullwidth=""on"" include_categories=""33"" show_thumbnail=""on"" show_content=""off"" show_more=""on"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""on"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""] [/et_pb_blog][/et_pb_column][/et_pb_row][/et_pb_section]","This is a list of all the latest video blog posts",20160721,page,http://theoilydoc.com/video-blog/,http://theoilydoc.com/wp-content/uploads/2016/08/tracey.jpg,tracey,,,,,publish,2,video-blog,,default,0,0,0,closed,closed,20160903
951,Recipes,"[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_blog admin_label=""Blog"" fullwidth=""on"" include_categories=""27"" show_thumbnail=""on"" show_content=""off"" show_more=""off"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" posts_number=""5""] [/et_pb_blog][/et_pb_column][/et_pb_row][/et_pb_section]",,20160812,page,http://theoilydoc.com/recipes/,http://theoilydoc.com/wp-content/uploads/2016/08/recipes-1.jpg,recipes-1,,,,,publish,2,recipes,,page-full.php,0,0,0,closed,closed,20170101
965,Specials,"[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_image admin_label=""Image"" src=""http://theoilydoc.com/wp-content/uploads/2017/08/20431411_10155359762681206_5926424504336707297_n.jpg"" show_in_lightbox=""off"" url_new_window=""off"" use_overlay=""off"" animation=""left"" sticky=""off"" align=""left"" force_fullwidth=""on"" always_center_on_mobile=""on"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" url=""www.mydoterra.com/ths""] [/et_pb_image][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2>Place a 100 PV new wholesale customer order in August, place a 100PV LRP order in September, and receive a FREE LLV supplement pack. This includes a whole food multi vitamin, an Omega 3 fish oil, AND a whole food antioxidant.</h2>
[/et_pb_text][et_pb_image admin_label=""Image"" src=""http://theoilydoc.com/wp-content/uploads/2017/08/20476053_1368231466605757_4111816849974220345_n.jpg"" show_in_lightbox=""off"" url_new_window=""off"" use_overlay=""off"" animation=""left"" sticky=""off"" align=""left"" force_fullwidth=""on"" always_center_on_mobile=""on"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" url=""www.mydoterra.com/ths""] [/et_pb_image][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2>Place a 125PV LRP order by August 15th, and receive a FREE 15mL bottle of Lime Essential Oil.</h2>
[/et_pb_text][et_pb_image admin_label=""Image"" src=""http://theoilydoc.com/wp-content/uploads/2017/08/20479756_1368231433272427_8156537280137636890_n.jpg"" show_in_lightbox=""off"" url_new_window=""off"" use_overlay=""off"" animation=""left"" sticky=""off"" align=""left"" force_fullwidth=""on"" always_center_on_mobile=""on"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" url=""www.mydoterra.com/ths""] [/et_pb_image][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2>Kids Supplement, A2Z chewable, and Probiotic, PB Assist Jr., are both on sale for 10% off during the month of August.</h2>
[/et_pb_text][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row""][et_pb_column type=""4_4""][/et_pb_column][/et_pb_row][/et_pb_section]",,20160812,page,http://theoilydoc.com/specials/,https://s3.amazonaws.com/oilydocpodcast/wp-content/uploads/2016/08/02113546/20431352_10159052959270612_888959899695658655_n.jpg|https://s3.amazonaws.com/oilydocpodcast/wp-content/uploads/2016/08/02163000/immortelle.png|http://theoilydoc.com/wp-content/uploads/2016/08/14567992_10154565555886624_7770246546746288271_n.jpg|http://theoilydoc.com/wp-content/uploads/2016/08/october-special.png|http://theoilydoc.com/wp-content/uploads/2016/08/fall-promo.png|http://theoilydoc.com/wp-content/uploads/2016/08/13879436_10154490830359314_148465842447324769_n.jpg|http://theoilydoc.com/wp-content/uploads/2016/08/14001754_10103720732583898_1670503199_o.jpg|http://theoilydoc.com/wp-content/uploads/2016/08/14030883_10208352757509959_1572765272_n.jpg,20431352_10159052959270612_888959899695658655_n|immortelle|14567992_10154565555886624_7770246546746288271_n|october-special|fall-promo|13879436_10154490830359314_148465842447324769_n|14001754_10103720732583898_1670503199_o|14030883_10208352757509959_1572765272_n,|||||||,|||||||,|||||||,,publish,2,specials,,page-full.php,0,0,0,closed,closed,20170802
970,"Members Home","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row"" make_fullwidth=""on"" use_custom_width=""off"" width_unit=""on"" use_custom_gutter=""off"" padding_mobile=""off"" allow_player_pause=""off"" parallax=""off"" parallax_method=""off"" make_equal=""off"" parallax_1=""off"" parallax_method_1=""off"" column_padding_mobile=""on"" disabled=""off"" disabled_on=""on||""][et_pb_column type=""4_4""][et_pb_post_slider admin_label=""Post Slider"" posts_number=""2"" include_categories=""36,26,37,27,35"" orderby=""date_desc"" show_arrows=""on"" show_pagination=""on"" show_more_button=""on"" content_source=""off"" use_manual_excerpt=""on"" show_meta=""on"" background_layout=""light"" show_image=""on"" image_placement=""background"" parallax=""off"" parallax_method=""off"" use_bg_overlay=""off"" use_text_overlay=""on"" remove_inner_shadow=""off"" background_position=""default"" background_size=""default"" auto=""on"" auto_ignore_hover=""off"" hide_content_on_mobile=""off"" hide_cta_on_mobile=""off"" show_image_video_mobile=""off"" meta_letter_spacing=""0"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" background_color=""#59963b"" auto_speed=""5000"" background_image=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/08/oil-1205635_1280.jpg""] [/et_pb_post_slider][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" disabled=""off"" disabled_on=""on||""]

Welcome to our exclusive members section of our site. Check out the featured blog posts above, or visit one of the sections listed below, or search through the files directory at the bottom of the page.

[/et_pb_text][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row"" make_fullwidth=""off"" use_custom_width=""off"" width_unit=""on"" use_custom_gutter=""off"" padding_mobile=""off"" disabled=""off"" disabled_on=""on||"" allow_player_pause=""off"" parallax=""off"" parallax_method=""off"" make_equal=""off"" parallax_1=""off"" parallax_method_1=""off"" parallax_2=""off"" parallax_method_2=""off"" parallax_3=""off"" parallax_method_3=""off"" parallax_4=""off"" parallax_method_4=""off"" column_padding_mobile=""on""][et_pb_column type=""1_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2 style=""text-align: center;""><a href=""/categories/science-of"">Science Of</a></h2>
[/et_pb_text][et_pb_blog admin_label=""Blog"" fullwidth=""off"" include_categories=""35"" show_thumbnail=""on"" show_content=""off"" show_more=""off"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""on"" border_color=""#ffffff"" border_style=""solid"" posts_number=""4""] [/et_pb_blog][/et_pb_column][et_pb_column type=""1_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2 style=""text-align: center;""><a href=""/category/recipes"">Recipes</a></h2>
[/et_pb_text][et_pb_blog admin_label=""Blog"" fullwidth=""off"" include_categories=""27"" show_thumbnail=""on"" show_content=""off"" show_more=""on"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""on"" border_color=""#ffffff"" border_style=""solid"" posts_number=""4""] [/et_pb_blog][/et_pb_column][et_pb_column type=""1_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2 style=""text-align: center;""><a href=""/category/business-training/"">Business Training</a></h2>
[/et_pb_text][et_pb_blog admin_label=""Blog"" fullwidth=""off"" include_categories=""36"" show_thumbnail=""on"" show_content=""off"" show_more=""on"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""on"" border_color=""#ffffff"" border_style=""solid"" posts_number=""4""] [/et_pb_blog][/et_pb_column][et_pb_column type=""1_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2 style=""text-align: center;""><a href=""http://theoilydoc.wpengine.com/calendars/"">Calendar</a></h2>
[/et_pb_text][et_pb_blog admin_label=""Blog"" fullwidth=""on"" posts_number=""4"" include_categories=""26"" show_thumbnail=""on"" show_content=""off"" show_more=""off"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""] [/et_pb_blog][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row"" make_fullwidth=""off"" use_custom_width=""off"" width_unit=""on"" use_custom_gutter=""off"" padding_mobile=""off"" disabled=""off"" disabled_on=""on||"" allow_player_pause=""off"" parallax=""off"" parallax_method=""off"" make_equal=""off"" parallax_1=""off"" parallax_method_1=""off"" column_padding_mobile=""on""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]
<h2 style=""text-align: center;""><a href=""/category/files"">Files</a></h2>
[/et_pb_text][et_pb_blog admin_label=""Blog"" fullwidth=""on"" include_categories=""37"" show_thumbnail=""on"" show_content=""off"" show_more=""off"" show_author=""on"" show_date=""on"" show_categories=""on"" show_comments=""on"" show_pagination=""on"" offset_number=""0"" use_overlay=""off"" background_layout=""light"" use_dropshadow=""off"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""] [/et_pb_blog][/et_pb_column][/et_pb_row][et_pb_row admin_label=""Row""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" disabled=""off"" disabled_on=""|on|on"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]

Welcome to our exclusive members section of our site. Links to the different member resources are provided below.

[/et_pb_text][et_pb_button admin_label=""Button"" button_url=""http://theoilydoc.com/category/business-training/"" url_new_window=""off"" button_text=""Business Training"" button_alignment=""center"" background_layout=""light"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" disabled=""off"" disabled_on=""|on|on""] [/et_pb_button][et_pb_button admin_label=""Button"" button_url=""http://theoilydoc.com/categories/science-of"" url_new_window=""off"" button_text=""Science Of"" button_alignment=""center"" background_layout=""light"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" disabled=""off"" disabled_on=""|on|on""] [/et_pb_button][et_pb_button admin_label=""Button"" button_url=""http://theoilydoc.wpengine.com/calendars/"" url_new_window=""off"" button_text=""Calendar"" button_alignment=""center"" background_layout=""light"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" disabled=""off"" disabled_on=""|on|on""] [/et_pb_button][et_pb_button admin_label=""Button"" button_url=""http://theoilydoc.com/category/recipes"" url_new_window=""off"" button_text=""Recipes"" button_alignment=""center"" background_layout=""light"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" disabled=""off"" disabled_on=""|on|on""] [/et_pb_button][et_pb_button admin_label=""Button"" button_url=""http://theoilydoc.com/category/files"" url_new_window=""off"" button_text=""Files"" button_alignment=""center"" background_layout=""light"" custom_button=""off"" button_letter_spacing=""0"" button_use_icon=""default"" button_icon_placement=""right"" button_on_hover=""on"" button_letter_spacing_hover=""0"" disabled=""off"" disabled_on=""|on|on""] [/et_pb_button][/et_pb_column][/et_pb_row][/et_pb_section]",,20160815,page,http://theoilydoc.com/members-home/,http://theoilydoc.com/wp-content/uploads/2016/08/oil-1205635_1280.jpg,oil-1205635_1280,,,,,publish,2,members-home,,page-full.php,0,0,0,closed,closed,20170602
1072,"Membership List","[ms-note type=""info""]We have the following subscriptions available for our site. You can renew, cancel or upgrade your subscriptions by using the forms below.[/ms-note]
[ms-membership-signup]",,20160815,page,http://theoilydoc.com/memberships/,,,,,,,publish,2,memberships,,,0,0,0,closed,closed,20160815
1073,"Membership Benefits","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""2_3""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" disabled=""off"" disabled_on=""on||""]
<h1 style=""text-align: center;"">Membership Benefits</h1>
Mission:

Our mission is to:
Educate individuals and families on the origin of health and what true health looks like.
Empower others to take control of their health using natural solutions.

Our team puts a great deal of emphasis on education about the many uses of essential oils, their proper use, and the science behind how they work. We hold meetings via webinars and in person on a regular basis to encourage empowerment through education. This high level of education is one of the many benefits of being a part of our team.
We also provide opportunities to learn about personal development and business building, if that is something you are interested in taking advantage of.
This website provides our team members with an additional avenue to learn and become empowered. You will have access to in-depth science and chemistry, trainings, PowerPoints on various topics, and more.

&nbsp;

If you are interested about learning more about joining our doTERRA team, please contact us and we will help you get started on your essential oil journey! Also, feel free to visit our doTERRA website at <a href=""http://www.mydoterra.com/ths"" target=""_blank"" rel=""nofollow"">www.mydoterra.com/ths</a>

[/et_pb_text][/et_pb_column][et_pb_column type=""1_3""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]

<code>[ms-membership-login label_username=""Wellness Advocate ID"" redirect_login=""/members-home/""]</code>

[/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]",,20160815,page,http://theoilydoc.com/membership-benefits/,http://theoilydoc.com/wp-content/uploads/2016/08/hyacinth-1398839_1280.jpg|http://theoilydoc.com/wp-content/uploads/2016/08/sprout-1136131_1280.jpg,hyacinth-1398839_1280|sprout-1136131_1280,|,|,|,,publish,2,membership-benefits,,page-full.php,0,0,0,closed,closed,20160819
1075,"Thank-You Page","[ms-note type=""info""]Your request to join the membership was successfull.
We will be in touch very soon to with a welcome note and help you learn how to best use the site![/ms-note]
[ms-membership-account-link]",,20160815,page,http://theoilydoc.com/registration-complete/,,,,,,,publish,2,registration-complete,,page-full.php,0,0,0,closed,closed,20160818
1076,Account,"[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]

[ms-membership-account show_membership=""no"" show_invoices=""no"" show_activity=""no"" label_username=""Wellness Advocate ID""]

<hr />

[ms-membership-logout]

[/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]",,20160815,page,http://theoilydoc.com/account/,,,,,,,publish,2,account,,default,0,0,0,closed,closed,20160818
