ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL",Categories,Tags,Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
442,"Holiday Diffuser Blends","&nbsp;

<img class=""size-medium wp-image-441 aligncenter"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/07/diffuserblends-239x300.jpg"" alt=""diffuserblends"" width=""239"" height=""300"" />",,20160716,post,http://theoilydoc.com/diffuser-blends/,http://theoilydoc.com/wp-content/uploads/2016/07/diffuserblends.jpg,diffuserblends,,,,,Recipes>Aromatic|Uncategorized,,publish,2,diffuser-blends,,,0,0,0,closed,open,20160901
454,"June Calendar","<img class=""alignnone size-full wp-image-457"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/07/calendar_3.jpeg"" alt=""calendar_3"" width=""298"" height=""169"" />
<ul>
 	<li>Description</li>
 	<li>list</li>
 	<li>of</li>
 	<li>calendar</li>
 	<li>events.</li>
</ul>",,20160721,post,http://theoilydoc.com/june-calendar/,http://theoilydoc.com/wp-content/uploads/2016/07/calendar_3.jpeg|http://theoilydoc.com/wp-content/uploads/2016/07/calendar_2.jpeg|http://theoilydoc.com/wp-content/uploads/2016/07/calendar_1.jpeg,calendar_3|calendar_2|calendar_1,||,||,||,,Calendar,,publish,2,june-calendar,,,0,0,0,open,open,20160721
458,"May Calendar","<img class=""alignnone size-full wp-image-456"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/07/calendar_2.jpeg"" alt=""calendar_2"" width=""275"" height=""183"" />
<ul>
 	<li>List</li>
 	<li>of</li>
 	<li>calendar</li>
 	<li>events</li>
</ul>",,20160721,post,http://theoilydoc.com/may-calendar/,http://theoilydoc.com/wp-content/uploads/2016/07/calendar_2.jpeg,calendar_2,,,,,Calendar|Uncategorized,,publish,2,may-calendar,,,0,0,0,open,open,20160721
459,"July Calendar","<img class=""alignnone size-medium wp-image-455"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/07/calendar_1-300x137.jpeg"" alt=""calendar_1"" width=""300"" height=""137"" />
<ul>
 	<li>July</li>
 	<li>events</li>
 	<li>are super</li>
 	<li>fun.</li>
</ul>",,20160721,post,http://theoilydoc.com/july-calendar/,http://theoilydoc.com/wp-content/uploads/2016/07/calendar_1.jpeg,calendar_1,,,,,Calendar|Featured,,publish,2,july-calendar,,,0,0,0,open,open,20160721
461,"Membership Benefits","[embed]https://www.youtube.com/watch?v=UtOFO6AeA_A[/embed]

There are many benefits to having a membership with doTERRA, above and beyond receiving wholesale pricing! This video will outline many of the benefits.",,20160721,post,http://theoilydoc.com/membership-benefits/,http://theoilydoc.com/wp-content/uploads/2016/07/13342968_10154259668719314_1839278728424665163_n.jpg|http://theoilydoc.com/wp-content/uploads/2016/07/membershipBenefits.png,13342968_10154259668719314_1839278728424665163_n|membershipBenefits,|,|,|,,"Business Training|Featured|Video Blog",,publish,2,membership-benefits,,,0,0,0,open,open,20160903
949,"Autumn Diffuser Blends","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_image admin_label=""Image"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/08/autumnDiffuserBlends.jpg"" show_in_lightbox=""on"" url_new_window=""off"" use_overlay=""off"" animation=""left"" sticky=""off"" align=""center"" force_fullwidth=""on"" always_center_on_mobile=""on"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid"" /][/et_pb_column][/et_pb_row][/et_pb_section]",,20160812,post,http://theoilydoc.com/autumn-diffuser-blends/,http://theoilydoc.com/wp-content/uploads/2016/08/autumnDiffuserBlends.jpg,autumnDiffuserBlends,,,,,Recipes>Aromatic|Uncategorized,,publish,2,autumn-diffuser-blends,,,0,0,0,open,open,20160812
1126,"Aroma Therapy","[et_pb_section admin_label=""section""][et_pb_row admin_label=""row""][et_pb_column type=""4_4""][et_pb_text admin_label=""Text"" background_layout=""light"" text_orientation=""left"" use_border_color=""off"" border_color=""#ffffff"" border_style=""solid""]

This is all about the science of aroma therapy and why it rocks

<img class=""alignnone wp-image-462 size-full"" src=""http://theoilydoc.wpengine.com/wp-content/uploads/2016/07/membershipBenefits.png"" alt=""membershipBenefits"" width=""264"" height=""191"" />

Yes, I'm aware that this picture is COMPLETELY unrelated.

&nbsp;

[/et_pb_text][/et_pb_column][/et_pb_row][/et_pb_section]","Science of aromatherapy. It's very interesting",20160819,post,http://theoilydoc.com/aroma-therapy/,,,,,,,"Science Of",,publish,2,aroma-therapy,,,0,0,0,open,open,20160819
1166,"September Monthly Online Education","<img class=""size-medium wp-image-1167"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14095933_10154471617306624_7026566176097741325_n-300x300.jpg"" alt=""Monthly Online Education"" width=""300"" height=""300"" />","We heard you! Many of you are unable to attend one of our live monthly education meetings, so we are offering a monthly class.... Online! Tune in the first Thursday of every month, to learn more on a variety of topics. ",20160901,post,http://theoilydoc.com/1166-2/,http://theoilydoc.com/wp-content/uploads/2016/09/14095933_10154471617306624_7026566176097741325_n.jpg,14095933_10154471617306624_7026566176097741325_n,"Monthly Online Education",,,,Calendar,,publish,2,1166-2,,,0,0,0,open,open,20160901
1168,"Monthly Education Classes","<img class=""alignnone size-medium wp-image-1169"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14022093_10154452309051624_1491620437407810546_n-300x251.jpg"" alt=""14022093_10154452309051624_1491620437407810546_n"" width=""300"" height=""251"" />

<img class=""alignnone size-medium wp-image-1170"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/14088608_10154452310806624_9175471368782168359_n-300x150.jpg"" alt=""14088608_10154452310806624_9175471368782168359_n"" width=""300"" height=""150"" />","This month's continuing education classes will focus on emotions and oils. ",20160901,post,http://theoilydoc.com/monthly-education-classes/,http://theoilydoc.com/wp-content/uploads/2016/09/14088608_10154452310806624_9175471368782168359_n.jpg|http://theoilydoc.com/wp-content/uploads/2016/09/14022093_10154452309051624_1491620437407810546_n.jpg,14088608_10154452310806624_9175471368782168359_n|14022093_10154452309051624_1491620437407810546_n,|,|,|,,Calendar,,publish,2,monthly-education-classes,,,0,0,0,open,open,20160901
1171,"Doterra One 2016 Convention","<img class=""alignnone size-medium wp-image-1172"" src=""http://theoilydoc.com/wp-content/uploads/2016/09/one-300x104.png"" alt=""one"" width=""300"" height=""104"" />

&nbsp;

The doTERRA international convention will be held September 14th-17th in Salt Lake City, Utah. Stay tuned for the new products that will be launched at the 2016 convention.",,20160901,post,http://theoilydoc.com/doterra-one-2016-convention/,http://theoilydoc.com/wp-content/uploads/2016/09/one.png,one,,,,,Uncategorized,,publish,2,doterra-one-2016-convention,,,0,0,0,open,open,20161003
